platform,insecurity_ratio
zhihu,0.0
bili,0.026525198938992044
zhihu,0.0
bili,0.011124845488257108
zhihu,0.0
bili,0.03221649484536082
zhihu,0.0
bili,0.010769230769230769
zhihu,0.06349206349206349
bili,0.008645533141210375
zhihu,0.01904761904761905
bili,0.011827956989247311
zhihu,0.03070175438596491
bili,0.008870967741935484
zhihu,0.0
bili,0.002898550724637681
zhihu,0.0033444816053511705
bili,0.007252215954875101
zhihu,0.017341040462427744
bili,0.005560704355885079
zhihu,0.019230769230769232
bili,0.006220839813374806
bili,0.005169442848937392
zhihu,0.0
bili,0.007588075880758808
zhihu,0.0
bili,0.003575685339690107
zhihu,0.15151515151515152
bili,0.005696530295183843
zhihu,0.018867924528301886
bili,0.0035536602700781805
zhihu,0.009584664536741214
bili,0.01029512697323267
zhihu,0.04395604395604396
bili,0.01400147383935151
zhihu,0.017094017094017096
bili,0.019390581717451522
zhihu,0.0
bili,0.013757523645743766
zhihu,0.1095890410958904
bili,0.01652089407191448
zhihu,0.020134228187919462
bili,0.009892086330935251
zhihu,0.022222222222222223
bili,0.008888888888888889
zhihu,0.0
bili,0.005774783445620789
zhihu,0.0
bili,0.0055617352614015575
zhihu,0.0
bili,0.020351526364477335
zhihu,0.023622047244094488
bili,0.016420361247947456
zhihu,0.0625
bili,0.011194029850746268
zhihu,0.07692307692307693
bili,0.008088978766430738
zhihu,0.0
bili,0.009695290858725761
zhihu,0.03418803418803419
bili,0.010425716768027803
zhihu,0.007434944237918215
bili,0.010714285714285714
zhihu,0.03
bili,0.019945602901178604
zhihu,0.022641509433962263
bili,0.014469453376205787
zhihu,0.0
bili,0.006896551724137931
xhs,0.0
zhihu,0.03305785123966942
bili,0.0065040650406504065
zhihu,0.019305019305019305
bili,0.014173228346456693
zhihu,0.029185867895545316
bili,0.009266409266409266
zhihu,0.047036688617121354
bili,0.0136986301369863
zhihu,0.030405405405405407
bili,0.00902061855670103
zhihu,0.06178489702517163
bili,0.023238925199709513
zhihu,0.031073446327683617
bili,0.012894906511927788
zhihu,0.08928571428571429
bili,0.015432098765432098
xhs,0.08333333333333333
zhihu,0.052571428571428575
bili,0.01680672268907563
xhs,0.0
zhihu,0.008733624454148471
bili,0.011668611435239206
zhihu,0.03194888178913738
bili,0.006586826347305389
zhihu,0.021844660194174758
bili,0.014563106796116505
zhihu,0.020512820512820513
bili,0.024
zhihu,0.0
bili,0.0
zhihu,0.030303030303030304
bili,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.022727272727272728
all,0.0
all,0.020833333333333332
all,0.0
all,0.0
all,0.021739130434782608
all,0.038461538461538464
all,0.02631578947368421
all,0.045454545454545456
all,0.043478260869565216
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.015873015873015872
all,0.0136986301369863
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0625
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.07142857142857142
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.00546448087431694
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.008928571428571428
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.0
all,0.004098360655737705
all,0.008438818565400843
all,0.004576659038901602
all,0.0
all,0.011695906432748537
all,0.005703422053231939
all,0.008426966292134831
all,0.006688963210702341
all,0.0036900369003690036
all,0.002398081534772182
all,0.0128
all,0.004728132387706856
all,0.005
all,0.0041753653444676405
all,0.0041841004184100415
all,0.00186219739292365
all,0.00801068090787717
all,0.003861003861003861
all,0.005136986301369863
all,0.009689922480620155
all,0.006472491909385114
all,0.00516795865633075
all,0.006472491909385114
all,0.0037267080745341614
all,0.003033367037411527
all,0.009433962264150943
all,0.0047694753577106515
all,0.0074487895716946
all,0.0031120331950207467
all,0.009794319294809012
all,0.002894356005788712
all,0.0059594755661501785
all,0.006389776357827476
all,0.004338394793926247
all,0.02830188679245283
all,0.00682261208576998
all,0.0042417815482502655
all,0.006415396952686447
all,0.005961251862891207
all,0.0037831021437578815
all,0.0031779661016949155
all,0.005549389567147614
all,0.004519774011299435
all,0.002631578947368421
all,0.0015337423312883436
all,0.003436426116838488
all,0.0028169014084507044
all,0.0019305019305019305
all,0.0032502708559046588
all,0.00945179584120983
all,0.02169421487603306
all,0.022701475595913734
all,0.00995575221238938
all,0.02413127413127413
all,0.015427769985974754
all,0.010012515644555695
all,0.015544041450777202
all,0.008723235527359239
all,0.0029985007496251873
all,0.008486562942008486
all,0.0058823529411764705
all,0.006220839813374806
all,0.005008347245409015
all,0.007446808510638298
all,0.009174311926605505
all,0.006048387096774193
all,0.004651162790697674
all,0.01227390180878553
all,0.014246947082767978
all,0.017687934301958308
all,0.024446142093200916
all,0.01733232856066315
all,0.010371650821089023
all,0.006882312456985547
all,0.005708848715509039
all,0.005302226935312832
all,0.020695364238410598
all,0.0176
all,0.011825572801182557
all,0.006606110652353427
all,0.011531069827033953
all,0.009859154929577466
all,0.014423076923076924
all,0.02046783625730994
all,0.013138686131386862
all,0.008264462809917356
all,0.008730691739422432
all,0.019260801665799063
all,0.026293469041560644
all,0.02001703577512777
all,0.020613373554550025
all,0.02484113229347198
all,0.026497085320614733
all,0.028719585161547666
all,0.015703869882220976
all,0.01480019733596448
all,0.009606147934678195
all,0.017456359102244388
all,0.02127659574468085
all,0.0055248618784530384
all,0.0
