event_id,event_type,irr,ci_low,ci_high,p_value
E010,tech_positive,2.25,0.6546755815822287,3.8453244184177713,0.19260295756918835
E011,job_negative,0.0,-0.8595168589208887,0.8595168589208887,0.021080225552420114
E016,tech_positive,0.0,-1.331557792154045,1.331557792154045,0.12588508000817414
E017,tech_positive,0.0,-1.331557792154045,1.331557792154045,0.12588508000817414
E018,tech_positive,0.0,-1.331557792154045,1.331557792154045,0.12588508000817414
E020,tech_positive,0.0,-1.331557792154045,1.331557792154045,0.12588508000817414
E021,tech_positive,0.0,-1.331557792154045,1.331557792154045,0.12588508000817414
E029,tech_positive,4.375,2.457747506696908,6.292252493303092,0.002354740425425897
E030,tech_positive,4.375,2.457747506696908,6.292252493303092,0.002354740425425897
E031,tech_positive,2.819444444444444,1.498265683228416,4.140623205660472,0.014027890698661475
E032,job_negative,0.7941919191919192,0.42679554426090405,1.1615882941229345,0.29623080085863385
