day,mean_effect,std_effect,fitted
0,0.06111111111111105,0.646397960575669,0.31626217620271774
1,-0.10437710437710437,0.569826265899755,0.3186984505863632
2,1.2914141414141413,1.281757161118177,0.3211534924146132
3,0.19040404040404038,0.5038005192759101,0.32362744625943374
4,0.3478114478114478,0.5306752911877252,0.3261204578064772
5,0.5038720538720538,0.6420604595865077,0.32863267386366196
6,-0.018686868686868693,0.3714963336691711,0.3311642423698173
7,0.422895622895623,0.6849113555662348,0.33371531240339536
8,1.8797979797979798,1.264171029311909,0.33628603419124997
9,-0.24932659932659937,0.32922667328381483,0.33887655911748304
10,-0.29225589225589227,0.32760422118613375,0.34148703973235955
11,-0.2821548821548822,0.32362694001681047,0.3441176297612905
12,-0.5040404040404041,0.21818309355815382,0.34676848411388583
13,-0.4196969696969697,0.28916720685661224,0.3494397588930763
14,2.1823232323232324,0.9270429553412072,0.35213161140430665
